Data;Ora GMT;LatN;LonE;Prof (Km);Md;Ml;Area
25/08/1999;00:02:37;37.736;15.016;14.94;2.3;;Mt. Centenari
25/08/1999;00:04:26;37.731;15.023;13.46;1.5;;Mt. Centenari
25/08/1999;00:01:14;37.725;15.03;1.94;2.1;;Mt. Centenari
25/08/1999;00:54:37;38.508;15.93;;2.8;;Rosarno
26/08/1999;00:50:20;37.803;15.088;0.25;3;;Pernicana
26/08/1999;00:56:27;37.818;15.113;8.48;3;;Pernicana
27/08/1999;00:48:09;37.768;14.979;7.76;2.2;;P.ta Lucia
28/08/1999;00:20:36;38.022;15.058;8.8;2.7;;Montalbano d'Elicona
28/08/1999;00:31:52;37.712;14.947;5.92;2.5;;2 Km sud M. Palestra
29/08/1999;00:33:50;37.731;15.035;3.14;1.9;;M. Centenari
30/08/1999;00:36:00;38.091;15.201;6.88;1.8;;Castroreale
30/08/1999;00:52:44;37.636;14.417;22.97;2.8;;Leonforte
30/08/1999;00:03:34;37.742;14.981;6.43;2.6;;1 km Est Mt. Palestra
30/08/1999;00:20:21;37.724;14.944;7.93;2.1;;1 km Sud Mt. Palestra
01/09/1999;00:42:05;37.74;14.995;5.9;2;;Cratere centrale
02/09/1999;00:02:50;37.777;15.142;3.53;2.7;;3 km Nord di S.Alfio
02/09/1999;00:33:45;37.788;15.091;2.8;3;;Mt. Crisimo
02/09/1999;00:26:41;37.712;15.038;2.22;2.1;;S.ra del Salifizio
05/09/1999;00:46:06;37.724;14.998;1.42;2.4;;Montagnola
07/09/1999;00:37:51;37.759;15.001;6.23;2.2;;Cratere nord-est
08/09/1999;00:23:03;37.713;15.03;13.23;1.9;;S.ra del Salifizio
09/09/1999;00:44:49;37.757;14.968;7.16;2.2;;1.5 Km NE Mt. Palestra
09/09/1999;00:24:25;37.739;15.066;13.19;1.9;;1.5 Km W Mt. Fontana
09/09/1999;00:49:03;37.655;14.927;4.57;2.3;;2.5 Km NW Ragalna
09/09/1999;00:39:29;37.806;15.039;14.08;2.7;;M.Nero
09/09/1999;00:45:30;37.706;15.01;14.46;2.2;;1.5 Km Sud Montagnola
08/09/1999;00:41:47;37.726;15.055;3.59;2;;1.5 Km Sud-Est M. Centenari
09/09/1999;00:04:18;37.761;15.02;10.38;2.5;;Valle del Leone
10/09/1999;00:20:00;37.69;15.052;6.15;1.7;;2 Km E M. Serra Pizzuta Calvarina
10/09/1999;00:05:44;37.76;15.005;9.46;1.9;;Cratere centrale
11/09/1999;00:31:25;37.503;15.241;14.9;2.2;;10 km est di Catania
11/09/1999;00:52:50;37.662;14.935;5.92;2;;2 Km EN Ragalna
12/09/1999;00:04:52;38.014;15.141;9.14;1.4;;Novara di Sicilia
15/09/1999;00:27:56;37.679;14.979;3.16;2.2;;1 Km S Mt. Vetore
15/09/1999;00:00:36;37.69;15;0.13;2.5;;1 KM E Mt. Vetore
16/09/1999;00:23:47;37.645;14.851;1.21;2.7;;Tra Adrano e Biancavilla
